PG,PG,SG,SG,SF,SF,PF,PF,C,Salary
Trey Burke,Lonzo Ball,Kentavious Caldwell-Pope,Devin Booker,Michael Beasley,Jayson Tatum,Julius Randle,Mason Plumlee,Nikola Jokic,60000
Trey Burke,Lonzo Ball,Tim Hardaway Jr.,Devin Booker,Michael Beasley,Jayson Tatum,Julius Randle,Mason Plumlee,Nikola Jokic,60000
Trey Burke,Terry Rozier,Kentavious Caldwell-Pope,Tim Hardaway Jr.,TJ Warren,Jayson Tatum,Julius Randle,Taj Gibson,Nikola Jokic,60000
Frank Ntilikina,Lonzo Ball,Kentavious Caldwell-Pope,Devin Booker,TJ Warren,Jayson Tatum,Julius Randle,Marquese Chriss,Nikola Jokic,60000
Frank Ntilikina,Lonzo Ball,Tim Hardaway Jr.,Devin Booker,TJ Warren,Jayson Tatum,Julius Randle,Marquese Chriss,Nikola Jokic,60000
Lonzo Ball,Terry Rozier,Kentavious Caldwell-Pope,Tim Hardaway Jr.,Michael Beasley,Jayson Tatum,Kyle Kuzma,Julius Randle,Greg Monroe,60000
Lonzo Ball,Terry Rozier,Kentavious Caldwell-Pope,Tim Hardaway Jr.,Michael Beasley,Jayson Tatum,Julius Randle,Taj Gibson,Al Horford,60000
Lonzo Ball,Terry Rozier,Kentavious Caldwell-Pope,Devin Booker,TJ Warren,Jayson Tatum,Kyle Kuzma,Taj Gibson,Enes Kanter,60000
Lonzo Ball,Terry Rozier,Tim Hardaway Jr.,Devin Booker,TJ Warren,Jayson Tatum,Kyle Kuzma,Taj Gibson,Enes Kanter,60000
Trey Burke,Lonzo Ball,Kentavious Caldwell-Pope,Tim Hardaway Jr.,TJ Warren,Jayson Tatum,Kyle Kuzma,Taj Gibson,Nikola Jokic,59900
Trey Burke,Lonzo Ball,Kentavious Caldwell-Pope,Devin Booker,Michael Beasley,TJ Warren,Julius Randle,Mason Plumlee,Nikola Jokic,59900
Trey Burke,Lonzo Ball,Tim Hardaway Jr.,Devin Booker,Michael Beasley,TJ Warren,Julius Randle,Mason Plumlee,Nikola Jokic,59900
Frank Ntilikina,Terry Rozier,Kentavious Caldwell-Pope,Tim Hardaway Jr.,TJ Warren,Jayson Tatum,Kyle Kuzma,Julius Randle,Nikola Jokic,59900
Lonzo Ball,Terry Rozier,Kentavious Caldwell-Pope,Tim Hardaway Jr.,Michael Beasley,TJ Warren,Kyle Kuzma,Julius Randle,Greg Monroe,59900
Lonzo Ball,Terry Rozier,Kentavious Caldwell-Pope,Tim Hardaway Jr.,Michael Beasley,TJ Warren,Julius Randle,Taj Gibson,Al Horford,59900
Lonzo Ball,Terry Rozier,Kentavious Caldwell-Pope,Tim Hardaway Jr.,TJ Warren,Jayson Tatum,Marquese Chriss,Taj Gibson,Nikola Jokic,59900
