Name,Position,Salary,Projected Value,Team
Ben McLemore,SG,3800,8.5,MEM
Kobi Simmons,SG,3500,7.04,MEM
Deyonta Davis ,C,3800,14.85,MEM
Wayne Selden,SG,4000,14.73,MEM
Jarell Martin,PF,5000,21.48,MEM
Chandler Parsons,SF,3500,11.55,MEM
Karl-Anthony Towns,C,10400,45.14,MIN
Jamal Crawford,SG,4200,19.16,MIN
Taj Gibson,PF,5300,25.8,MIN
Jeff Teague,PG,7400,34,MIN
Andrew Wiggins,SG,7000,29.31,MIN
Andrew Harrison,PG,5800,26.86,MEM
Mario Chalmers,PG,3500,9.55,MEM
Reggie Bullock,SF,4900,22.05,DET
Eric Moreland,PF,3500,3.4,DET
Luke Kennard,SG,4600,18.14,DET
Ish Smith,PG,5200,20.56,DET
Anthony Tolliver,PF,4100,13.4,DET
Stanley Johnson,SF,3900,15.44,DET
Blake Griffin,PF,8800,42.08,DET
Dillon Brooks,SF,4200,18.11,MEM
JaMychal Green,PF,6600,25.69,MEM
Marc Gasol,C,7800,36.85,MEM
James Ennis,SF,3500,12.52,DET
Tyus Jones,PG,3500,10.22,MIN
Nemanja Bjelica,SF,5800,27.02,MIN
Marquese Chriss,PF,4400,23.17,PHO
Josh Jackson,SF,7200,30.2,PHO
TJ Warren,SF,6500,32.17,PHO
Devin Booker,SG,7200,34.95,PHO
Elfrid Payton,PG,5600,25.67,PHO
Tyler Ulis,PG,3500,7.47,PHO
Dragan Bender,PF,4100,17.78,PHO
Jared Dudley,PF,3500,2.68,PHO
Shaquille Harrison,SG,3500,3.8,PHO
Troy Daniels,SG,3800,9.25,PHO
Alex Len,C,5300,26.43,PHO
Greg Monroe,C,5500,27.01,BOS
Abdel Nader,SG,3500,6.72,BOS
Jayson Tatum,SF,6600,32.38,BOS
Jaylen Brown,SG,6000,25.28,BOS
Derrick Rose,PG,3500,8.92,MIN
Gorgui Dieng,PF,3500,10.89,MIN
Al Horford,C,6800,33.03,BOS
Terry Rozier,PG,7100,34.7,BOS
Shane Larkin,PG,3600,16.91,BOS
Semi Ojeleye,SF,3500,4.68,BOS
Marcus Morris,PF,5700,26.11,BOS
Aron Baynes,C,3500,14.55,BOS
Reggie Jackson,PG,4500,21.65,DET
Andre Drummond,C,10200,49.2,DET
Ersan Ilyasova,PF,3800,17.19,PHI
J.J. Redick,SG,4500,21.22,PHI
Justin Anderson,SF,3500,12.47,PHI
Amir Johnson,PF,3600,12.4,PHI
T.J. McConnell,PG,3500,13.14,PHI
Marco Belinelli,SG,3900,16.84,PHI
Emmanuel Mudiay,PG,4600,16.91,NYK
Enes Kanter,C,6300,33.78,NYK
Frank Ntilikina,PG,3500,18.18,NYK
Courtney Lee,SG,3500,12.87,NYK
Tim Hardaway Jr.,SG,6100,30.05,NYK
Ben Simmons,PF,9800,45.41,PHI
Dario Saric,PF,5900,26.72,PHI
Will Barton,SG,7100,33.89,DEN
Wilson Chandler,SF,6000,25.42,DEN
Nikola Jokic,C,9500,46.13,DEN
Jamal Murray,PG,7500,32.41,DEN
Trey Lyles,PF,3600,3.89,DEN
Mason Plumlee,PF,3700,18.27,DEN
Robert Covington,SF,5900,24.13,PHI
Joel Embiid,C,10300,46.34,PHI
Paul Millsap,PF,7000,33.89,DEN
Torrey Craig,SF,3500,12.63,DEN
Lance Thomas,SF,3500,5.87,NYK
Kyle O'Quinn,C,5000,18.3,NYK
Kentavious Caldwell-Pope,SG,6100,32.64,LAL
Kyle Kuzma,PF,6600,36.54,LAL
Guillermo Hernangomez,C,3900,17.38,CHA
Treveon Graham,SG,3500,5.93,CHA
Nicolas Batum,SG,7000,30.33,CHA
Julius Randle,PF,7900,42.4,LAL
Lonzo Ball,PG,8300,40.71,LAL
Ivica Zubac,C,3500,6.05,LAL
Travis Wear,PF,3600,14.7,LAL
Tyler Ennis,PG,3500,13.92,LAL
Brook Lopez,C,6400,36.25,LAL
Dwayne Bacon,SF,3600,3.5,CHA
Malik Monk,SG,4200,11.19,CHA
Trey Burke,PG,4900,28.6,NYK
Isaiah Hicks,PF,3500,3.37,NYK
Michael Beasley,SF,5800,30.37,NYK
Troy Williams,SF,3500,16.76,NYK
Kemba Walker,PG,8600,39.07,CHA
Jeremy Lamb,SF,7000,21.25,CHA
Michael Kidd-Gilchrist,SF,3500,15.7,CHA
Marvin Williams,PF,4200,18.83,CHA
Frank Kaminsky,PF,4700,17.65,CHA
Dwight Howard,C,8800,39.23,CHA
Devin Harris,SG,4300,20.35,DEN
